CMPD_CHEMBLID,MOLREGNO,PARENT_CMPD_CHEMBLID,PARENT_MOLREGNO,MOL_PREF_NAME,COMPOUND_KEY,MOLWEIGHT,ALOGP,PSA,NUM_RO5_VIOLATIONS,CANONICAL_SMILES,ACTIVITY_ID,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,PCHEMBL_VALUE,PUBLISHED_TYPE,PUBLISHED_RELATION,PUBLISHED_VALUE,PUBLISHED_UNITS,ACTIVITY_COMMENT,DATA_VALIDITY_COMMENT,POTENTIAL_DUPLICATE,BAO_ENDPOINT,UO_UNITS,QUDT_UNITS,ASSAY_ID,ASSAY_CHEMBLID,ASSAY_TYPE,DESCRIPTION,ASSAY_SRC_ID,ASSAY_SRC_DESCRIPTION,ASSAY_ORGANISM,ASSAY_STRAIN,ASSAY_TAX_ID,CURATED_BY,BAO_FORMAT,TID,TARGET_CHEMBLID,TARGET_TYPE,PROTEIN_ACCESSION,PREF_NAME,ORGANISM,CONFIDENCE_SCORE,TARGET_MAPPING,APD_NAME,APD_CONFIDENCE,DOC_ID,DOC_CHEMBLID,PUBMED_ID,JOURNAL,YEAR,VOLUME,ISSUE,FIRST_PAGE,CELL_ID,CELL_CHEMBL_ID,CELL_NAME
CHEMBL2086788,1364444,CHEMBL2086774,1364430,,20,420.67,5.24,60.69,1,[2H][C@@H](CC(C)C)[C@H]([2H])[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,11011886,T1/2,>,2,hr,,t1/2,>,120,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,839696,CHEMBL2089523,A,Half life in human liver microsomes incubated up to 120 mins at pH 7.4,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,64982,CHEMBL2086367,22901899,Bioorg. Med. Chem. Lett.,2012,22,18,5893,,,
CHEMBL2086787,1364443,CHEMBL2086774,1364430,,19,420.67,5.24,60.69,1,[2H][C@H](CC(C)C)[C@@H]([2H])[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,11011884,T1/2,=,0.08333,hr,,t1/2,=,5,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,839695,CHEMBL2089522,A,Half life in human liver microsomes incubated up to 60 mins,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,64982,CHEMBL2086367,22901899,Bioorg. Med. Chem. Lett.,2012,22,18,5893,,,
CHEMBL201556,338311,CHEMBL1400,338326,,"8, D6 M1",249.35,2.48,43.7,0,[2H]C([2H])([2H])N(C[C@H]1CCCC[C@]1(O)c2cccc(O)c2)C([2H])([2H])[2H],1679582,T1/2,=,12.45,hr,,T1/2,=,747,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,333147,CHEMBL859628,A,Metabolic stability by incubation with human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Intermediate,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,30658,CHEMBL1149431,16257206,Bioorg. Med. Chem. Lett.,2006,16,3,691,,,
CHEMBL438627,338310,CHEMBL1066,138661,,"7, D6",263.38,2.7,32.7,0,[2H]C([2H])([2H])N(C[C@H]1CCCC[C@]1(O)c2cccc(OC)c2)C([2H])([2H])[2H],1679583,T1/2,=,9.117,hr,,T1/2,=,547,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,333147,CHEMBL859628,A,Metabolic stability by incubation with human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Intermediate,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,30658,CHEMBL1149431,16257206,Bioorg. Med. Chem. Lett.,2006,16,3,691,,,
CHEMBL2386595,1563363,CHEMBL941,88797,,3,493.6,4.22,86.28,0,[2H]C([2H])([2H])N1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,13325892,T1/2,=,0.4333,hr,,t1/2,=,26,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,962614,CHEMBL2388043,A,Half life in human liver microsomes by capillary-HPLC/MS analysis,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,73757,CHEMBL2384911,23611771,Bioorg. Med. Chem.,2013,21,11,3231,,,
CHEMBL379021,338334,CHEMBL1066,138661,,"9, D9",263.38,2.7,32.7,0,[2H]C([2H])([2H])Oc1cccc(c1)[C@@]2(O)CCCC[C@@H]2CN(C([2H])([2H])[2H])C([2H])([2H])[2H],1679581,T1/2,=,120.17,hr,,T1/2,=,7210,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,333147,CHEMBL859628,A,Metabolic stability by incubation with human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Intermediate,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,30658,CHEMBL1149431,16257206,Bioorg. Med. Chem. Lett.,2006,16,3,691,,,
CHEMBL201531,338292,CHEMBL1066,138661,,"6, D3",263.38,2.7,32.7,0,[2H]C([2H])([2H])Oc1cccc(c1)[C@@]2(O)CCCC[C@@H]2CN(C)C,1679584,T1/2,=,12.4,hr,,T1/2,=,744,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,333147,CHEMBL859628,A,Metabolic stability by incubation with human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Intermediate,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,30658,CHEMBL1149431,16257206,Bioorg. Med. Chem. Lett.,2006,16,3,691,,,
CHEMBL2086785,1364441,CHEMBL2086774,1364430,,18,420.67,5.24,60.69,1,[2H]C([2H])(CC(C)C)C([2H])([2H])[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,11011885,T1/2,>,2,hr,,t1/2,>,120,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,839696,CHEMBL2089523,A,Half life in human liver microsomes incubated up to 120 mins at pH 7.4,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,64982,CHEMBL2086367,22901899,Bioorg. Med. Chem. Lett.,2012,22,18,5893,,,
CHEMBL3357436,1821584,CHEMBL3558770,1940616,,12,728.3,5.16,124.44,2,[Br-].CCOc1cc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ncc(Cl)cn6)n(C)c4c3)ccc1\C=C\C(=O)OCC[N+](C)(C)C,14973040,T1/2,>,5,hr,,t1/2,>,300,min,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,1443633,CHEMBL3379530,A,Prodrug conversion in human liver microsomes assessed as half life,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000019,107510,CHEMBL2367379,TISSUE,,Liver microsome,Homo sapiens,1,Non-molecular,,,90037,CHEMBL3352534,25515558,Bioorg. Med. Chem. Lett.,2015,25,2,210,,,
CHEMBL2324280,1518447,CHEMBL2324280,1518447,,17c,511.96,4.97,131.31,1,[O-][N+](=O)c1cc(C(=O)Nc2ccc(F)c(c2)c3nc4ccccc4s3)c(Cl)cc1N5CCNCC5,12648968,T1/2,>,4,hr,,t1/2,>,4,hr,,,0,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,941168,CHEMBL2330994,A,Half life in human liver microsomes,1,Scientific Literature,Homo sapiens,,9606,Autocuration,BAO_0000251,102164,CHEMBL613373,SUBCELLULAR,,Liver microsomes,Homo sapiens,2,Subcellular fraction,,,72218,CHEMBL2321751,23484493,J. Med. Chem.,2013,56,7,2850,,,
