"CMPD_CHEMBLID","ASSAY_CHEMBLID","CANONICAL_SMILES","STANDARD_TYPE","RELATION","STANDARD_VALUE","STANDARD_UNITS","MOLWEIGHT","ALOGP","PSA","STABLE"
"CHEMBL2086788","CHEMBL2089523","[2H][C@@H](CC(C)C)[C@H]([2H])[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","T1/2",">","2","hr","420.67","5.24","60.69","1"
"CHEMBL2086787","CHEMBL2089522","[2H][C@H](CC(C)C)[C@@H]([2H])[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","T1/2","=","0.08333","hr","420.67","5.24","60.69","0"
"CHEMBL201556","CHEMBL859628","[2H]C([2H])([2H])N(C[C@H]1CCCC[C@]1(O)c2cccc(O)c2)C([2H])([2H])[2H]","T1/2","=","12.45","hr","249.35","2.48","43.7","1"
"CHEMBL438627","CHEMBL859628","[2H]C([2H])([2H])N(C[C@H]1CCCC[C@]1(O)c2cccc(OC)c2)C([2H])([2H])[2H]","T1/2","=","9.117","hr","263.38","2.7","32.7","1"
"CHEMBL2386595","CHEMBL2388043","[2H]C([2H])([2H])N1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1","T1/2","=","0.4333","hr","493.6","4.22","86.28","0"
"CHEMBL379021","CHEMBL859628","[2H]C([2H])([2H])Oc1cccc(c1)[C@@]2(O)CCCC[C@@H]2CN(C([2H])([2H])[2H])C([2H])([2H])[2H]","T1/2","=","120.17","hr","263.38","2.7","32.7","1"
"CHEMBL201531","CHEMBL859628","[2H]C([2H])([2H])Oc1cccc(c1)[C@@]2(O)CCCC[C@@H]2CN(C)C","T1/2","=","12.4","hr","263.38","2.7","32.7","1"
"CHEMBL2086785","CHEMBL2089523","[2H]C([2H])(CC(C)C)C([2H])([2H])[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","T1/2",">","2","hr","420.67","5.24","60.69","1"
"CHEMBL3357436","CHEMBL3379530","[Br-].CCOc1cc(NC(=O)C2(CCC2)NC(=O)c3ccc4c(C5CCCC5)c(c6ncc(Cl)cn6)n(C)c4c3)ccc1\C=C\C(=O)OCC[N+](C)(C)C","T1/2",">","5","hr","728.3","5.16","124.44","1"
"CHEMBL2324280","CHEMBL2330994","[O-][N+](=O)c1cc(C(=O)Nc2ccc(F)c(c2)c3nc4ccccc4s3)c(Cl)cc1N5CCNCC5","T1/2",">","4","hr","511.96","4.97","131.31","1"
